Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Arsenal,2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5,6,5,8,8
Aston Villa,6,8,8,16,6,10,16,11,6,6,6,9,16,15,15,17,20,,,,17,11
Birmingham,,,,13,10,12,18,,19,,9,18,,,,,,,,,,
Blackburn,,,10,6,15,15,6,10,7,15,10,15,19,,,,,,,,,
Blackpool,,,,,,,,,,,,19,,,,,,,,,,
Bolton,,,16,17,8,6,8,7,16,13,14,14,18,,,,,,,,,
Bournemouth,,,,,,,,,,,,,,,,,16,9,12,14,18,
Bradford,17,20,,,,,,,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,,,,,,15,17,15,16
Burnley,,,,,,,,,,,18,,,,,19,,16,7,15,10,17
Cardiff,,,,,,,,,,,,,,,20,,,,,18,,
Charlton,,9,14,12,7,11,13,19,,,,,,,,,,,,,,
Chelsea,5,6,6,4,2,1,1,2,2,3,1,2,6,3,3,1,10,1,5,3,4,4
Coventry,14,19,,,,,,,,,,,,,,,,,,,,
Crystal Palace,,,,,,18,,,,,,,,,11,10,15,14,11,12,14,14
Derby,16,17,19,,,,,,20,,,,,,,,,,,,,
Everton,13,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7,8,8,12,10
Fulham,,,13,14,9,13,12,,17,7,12,8,9,12,19,,,,,19,,18
Huddersfield,,,,,,,,,,,,,,,,,,,16,20,,
Hull,,,,,,,,,,17,19,,,,16,18,,18,,,,
Ipswich,,5,18,,,,,,,,,,,,,,,,,,,
Leeds,3,4,5,15,19,,,,,,,,,,,,,,,,,9
Leicester,8,13,20,,18,,,,,,,,,,,14,1,12,9,9,5,5
Liverpool,4,3,2,5,4,5,3,3,4,2,7,6,8,7,2,6,8,4,4,2,1,3
Man City,,18,,9,16,8,15,14,9,10,5,3,1,2,1,2,4,3,1,1,2,1
Man United,1,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6,2,6,3,2
Middlesboro,12,14,12,11,11,7,14,12,13,19,,,,,,,,,,,,
Middlesbrough,12,14,12,11,11,7,14,12,13,19,,,,,,,,19,,,,
Newcastle,11,11,4,3,5,14,7,13,12,18,,12,5,16,10,15,18,,10,13,13,12
Norwich,,,,,,19,,,,,,,12,11,18,,19,,,,20,
Portsmouth,,,,,13,16,17,9,8,14,20,,,,,,,,,,,
QPR,,,,,,,,,,,,,17,20,,,,,,,,
Reading,,,,,,,,8,18,,,,,19,,20,,,,,,
Sheffield United,19,,,,,,,18,,,,,,,,,,,,,9,20
Southampton,15,10,11,8,12,20,,,,,,,,14,8,7,6,8,17,16,11,15
Stoke,,,,,,,,,,12,11,13,14,13,9,9,9,13,19,,,
Sunderland,7,7,17,20,,,20,,15,16,13,10,13,17,14,16,17,20,,,,
Swansea,,,,,,,,,,,,,11,9,12,8,12,15,18,,,
Tottenham,10,12,9,10,15,9,5,5,11,8,4,5,4,5,6,5,3,2,3,4,6,7
Watford,20,,,,,,,20,,,,,,,,,13,17,14,11,19,
West Brom,,,,19,,17,19,,,20,,11,10,8,17,13,14,10,20,,,19
West Ham,9,15,7,18,,,9,15,10,9,17,20,,10,13,12,7,11,13,10,16,6
Wigan,,,,,,,10,,14,11,16,16,15,18,,,,,,,,
Wimbledon,18,,,,,,,,,,,,,,,,,,,,,
Wolves,,,,,20,,,,,,15,17,20,,,,,,,7,7,13
